Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
120           247.41           2.52              0              1         264.87          17.46         267.22          19.81
121           252.36           3.35              0              1         267.22          14.86         267.27          14.91
119           237.32           3.88              0              0         263.68          26.36         268.79          31.47
123           253.68            0.3              0              0         268.79          15.11         269.31          15.63
122           252.66           4.12              0              1         267.27          14.61         270.66             18
124           255.24           4.33              0              0         269.31          14.07         272.11          16.87
126           262.46           1.91              0              0         272.11           9.65         283.82          21.35
127           263.41          27.11              0              0         283.82           20.4         287.47          24.06
128           265.63          26.95              0              0         287.47          21.84         299.23           33.6
125           262.06           1.72              0              1         270.66            8.6         299.63          37.57
129           267.59           1.24              0              0         299.23          31.65         300.56          32.97
131           277.11           3.21              0              0         300.56          23.45         304.28          27.17
130           269.77           5.84              0              1         299.63          29.86         305.55          35.77
132           279.91           0.19              0              0         304.28          24.37         323.28          43.37
134           283.03          17.09              0              0         323.28          40.25         326.32          43.29
135           286.41           6.55              0              0         326.32          39.92         327.47          41.06
133           282.11          17.96              0              1         305.55          23.44         340.76          58.65
136           286.53           3.09              0              0         327.47          40.94          341.4          54.88
137           287.21           3.74              0              1         340.76          53.54         342.35          55.14
139           288.44           0.91              0              0          341.4          52.96         343.08          54.63
145           301.82          16.12              0              0         343.08          41.26         346.35          44.53
146           309.37          13.51              0              0         346.35          36.98         365.56           56.2
147           311.09           0.96              0              0         365.56          54.47         367.31          56.22
144           300.66           8.33              0              1         342.35          41.69         367.83          67.17
157           324.76           2.41              0              1         367.83          43.08         373.95           49.2
148            311.2           0.54              0              0         367.31           56.1         375.89          64.69
158            327.6           4.98              0              1         373.95          46.36         381.37          53.78
163           341.41          10.25              0              1         381.37          39.96         383.81           42.4
164           345.76          13.54              0              1         383.81          38.04         384.78          39.02
